PlayerId	Team	Since	Till
42	Reign	2017-04-26	2017
42	e-Meryci	2017-05-08	2017
42	Vega Squadron	2017-06-11	2017
42	Illuminar Gaming	2017-08-27	2020
42	K1CK Neosurf	2020-01-11	2020
42	Fnatic Rising	2020-12-04	2021
42	Misfits Premier	2021-12-22	2022
42	Team BDS Academy	2022-12-27	2023-11-19
43	Anubis Gaming	2021-12-24	2023-11-19
43	RA'AD	2022-01-14	2023
43	RA'AD	2023-01-29	2023
44	eXtatus	2012-09-30	2023-11-19
44	Samurai in Jeans	2013-02-21	2013
44	Heimerdinger's Colossi	2013-05-12	2013
44	Ninjas in Pyjamas	2013-06-26	2014
44	Ninjas in Pyjamas	2014-05-08	2014
44	Copenhagen Wolves	2014-11-18	2015
44	Renegades	2016-01-06	2016
44	H2k-Gaming	2016-05-07	2016
44	Tempo Storm	2016-12-04	2017
44	Inside Games	2017-10-25	2018
44	Royal Bandits	2018-05-21	2018
44	Splyce Vipers	2019-01-14	2019
44	MAD Lions	2019-05-29	2019
44	ad hoc gaming	2020-01-13	2020
44	100 Thieves	2020-11-20	2022
44	Evil Geniuses	2022-11-21	2023
45	eXtatus	2012-10-26	2023-11-19
45	eXtatus	2014-08-22	2014
45	Fraternitas		2023-11-19
46	Qiao Gu Reapers	2016-05-11	2023-11-19
46	Newbee	2016-05-11	2016
46	Newbee Young	2016-05-17	2016
46	QG Reapers	2016-11-30	2017
46	JD Gaming	2017-05-20	2017
46	Rogue Warriors	2017-12-21	2018
46	FunPlus Phoenix	2018-12-14	2021
46	LNG Esports	2021-12-10	2022
47	MF Gaming	2016-05-18	2023-11-19
47	WYDream	2016-05-18	2023-11-19
47	DS Gaming	2017-12-21	2023-11-19
47	JD Gaming	2017-12-21	2021
47	Top Esports	2021-12-15	2022
47	Ultra Prime	2022-05-30	2022
48	Star Horn Royal Club	2012-10-08	2014
48	Oh My God	2014-12-11	2015
48	Qiao Gu Reapers	2015-12-24	2016
48	Newbee	2016-05-11	2016
48	RNG	2016-05-15	2020
48	Bilibili Gaming	2021-12-14	2022
48	EDward Gaming	2023-06-10	2023-11-19
49	Invictus Gaming	2012-04-08	2016
49	Snake Esports	2016-12-15	2017
49	RNG	2018-01-14	2018
49	RNG	2019-03-21	2019
50	LPL	2022-07-06	2023-11-19
51	Invictus Gaming	2014-01-20	2023-11-19
52	NaJin Shield	2012-11-22	2013
52	Chunnam Tech U.	2013-06-12	2013
52	SK Telecom T1 S	2013-10-12	2014
52	SK Telecom T1	2014-12-02	2018
52	SuperMassive	2018-12-02	2019
52	T1	2020-04-12	2023-11-19
53	Azubu Blaze	2013-02-04	2023-11-19
53	CJ Entus Blaze	2013-02-04	2014
53	CJ Entus	2014-12-02	2015
53	Samsung Galaxy	2015-11-30	2017
53	KSV eSports	2017-11-30	2018
53	Gen.G	2018-05-03	2018
53	Gen.G	2019-12-02	2023-11-19
54	INTZ Red	2015-02-07	2023-11-19
54	JAYOB e-Sports	2015-05-15	2015
54	Keyd Stars	2015-11-11	2015
54	Keyd Stars	2015-12-04	2016
54	Big Gods Jackals	2017-01-04	2017
54	CNB e-Sports Club	2017-12-12	2018
54	Santos e-Sports	2019-03-02	2019
55	LegendsBR	2014-06-07	2014
55	IMP e-Sports	2014-10-01	2015
55	CNB e-Sports Club	2015-04-14	2016
55	IDM Gaming	2016-03-23	2016
55	RED Canids	2016-03-28	2017
55	Submarino Stars	2017-12-09	2018
55	Submarino Stars	2018-06-21	2018
55	RED Canids	2018-08-19	2018
55	RED Canids	2018-12-21	2020
56	Insight eSports	2013-01-22	2023-11-19
56	Keyd Team	2013-02-21	2013
56	Keyd Team	2013-11-25	2014
56	CNB e-Sports Club	2014-02-12	2014
56	Keyd Stars	2014-07-29	2014
56	INTZ	2014-12-02	2015
56	Keyd Stars	2015-05-12	2015
56	INTZ	2015-08-25	2016
56	Vivo Keyd	2016-11-28	2018
56	RED Canids	2018-12-06	2020
56	KaBuM! Esports	2020-05-27	2020
56	INTZ	2020-12-10	2021
57	e-Champ Gaming		2023-11-19
57	Team Genesis	2016-05-01	2016
57	Team Genesis	2016-12-05	2023-11-19
57	INTZ.Genesis	2016-12-05	2017
57	Team oNe eSports	2017-04-28	2017
57	INTZ	2017-11-13	2018
57	Flamengo Esports	2019-12-12	2020
57	Team oNe eSports	2020-05-28	2020
57	Flamengo Esports	2020-11-26	2021
57	Flamengo Esports	2021-06-04	2021
57	Flamengo Academy	2021-06-08	2021
57	Flamengo Esports	2023-10-22	2023-11-19
58	Keyd Stars	2016-05-12	2023-11-19
58	Submarino Stars	2017-12-09	2018
58	Cloud9	2019-02-26	2019
58	C9 Academy	2019-05-28	2019
58	paiN Gaming	2020-12-18	2022
59	Full Louis	2016-04-26	2023-11-19
59	SuperHype Gaming	2016-05-04	2016
59	Snake Esports	2016-05-18	2019
59	LNG Esports	2019-05-21	2019
59	Suning	2019-12-16	2021
59	Weibo Gaming	2021-11-21	2022
59	Team Whales	2023-10-10	2023
63	Hanoi Dragons	2014-10-21	2015
64	Flashdive	2013-05-22	2013
64	MiTH Flashdive	2013-06-30	2013
64	Bangkok Titans	2013-12-09	2016
64	Ascension Gaming	2016-10-07	2018
64	MEGA	2018-12-02	2019
65	SuperEsports	2019-01-04	2023-11-19
65	ahq Fighter	2019-05-29	2023-11-19
65	ahq Fighter	2019-06-16	2020
65	Alpha Esports	2020-02-12	2020
65	LIT Team	2021-04-21	2023-11-19
66	7th heaven	2017-06-06	2018
72	Vertex Esports Club	2023-06-02	2023-11-19
75	Riot Games Inc.	2021-05-24	2023-11-19
77	Rock Solid	2011-09-22	2023-11-19
77	Dignitas	2011-09-22	2011
77	Riot Games Inc.	2012-04-05	2020
77	Team Liquid	2020-05-04	2021
78	CLG	2010-04-16	2023-11-19
78	Riot Games Inc.		2023-11-19
79	Team Curse	2015-01-06	2023-11-19
79	Team Liquid	2015-01-06	2023-11-19
79	Delta Fox	2017-06-02	2017
80	Chiefs Esports Club	2015-06-19	2023-11-19
80	Team Dignitas EU	2015-06-23	2015
80	Dignitas	2015-11-06	2023-11-19
